g	gs	mpg	fgp	threepp	ftp	offr	defr	rpg	apg	spg	bpg	to	pf	ppg	name
397	109	12.8	0.408	0.350	0.726	0.3	0.9	1.2	1.2	0.5	0.1	0.6	1.6	3.5	Ivey, Royal	
203	79	21.0	0.426	0.336	0.781	1.5	3.6	5.1	0.9	0.6	0.3	0.9	2.7	8.7	Ilyasova, Ersan	
974	949	36.5	0.476	0.382	0.876	1.2	7.2	8.4	2.7	0.9	1.0	1.9	2.6	22.9	Nowitzki, Dirk	
232	4	6.7	0.469	0.000	0.609	0.6	0.9	1.5	0.2	0.2	0.6	0.4	1.2	1.8	Ilunga-Mbenga, Didier	
636	313	22.2	0.480	0.000	0.645	2.2	4.5	6.7	0.6	0.3	0.9	1.5	2.7	7.6	Magloire, Jamaal	
316	130	18.5	0.427	0.338	0.784	0.6	1.6	2.2	1.3	0.7	0.2	0.9	2.3	7.9	Miles, C.J.	
751	337	17.9	0.491	0.000	0.641	2.1	3.3	5.4	0.4	0.5	0.7	1.1	2.4	6.9	Mohammed, Nazr	
408	217	19.5	0.522	0.000	0.598	1.9	3.6	5.6	1.1	0.8	0.4	0.7	2.6	4.2	Hayes, Chuck	
136	54	15.1	0.512	0.326	0.657	1.1	2.6	3.7	1.3	0.5	0.5	0.8	1.8	4.9	McRoberts, Josh	
812	675	35.6	0.469	0.319	0.699	2.0	6.9	8.9	4.0	0.9	1.0	2.6	3.2	14.6	Odom, Lamar	
224	39	11.9	0.447	0.304	0.763	0.3	1.5	1.8	0.4	0.2	0.1	0.6	1.5	4.1	Graham, Stephen	
1159	898	31.3	0.469	0.120	0.764	2.0	4.3	6.3	2.3	0.7	0.3	2.1	3.0	13.8	Howard, Juwan	
338	49	18.2	0.558	0.040	0.655	1.5	2.7	4.2	0.9	0.5	0.2	1.1	2.6	8.4	Smith, Craig	
2	0	10.0	0.364	0.000	0.000	1.0	0.5	1.5	0.0	0.5	0.0	0.0	1.0	4.0	Brackins, Craig	
734	393	32.2	0.410	0.351	0.846	0.4	2.2	2.6	4.0	1.0	0.2	2.1	1.7	15.5	Crawford, Jamal	
456	15	15.3	0.394	0.372	0.870	0.3	1.5	1.8	1.2	0.6	0.1	0.5	1.6	5.3	Vujacic, Sasha	
638	453	22.0	0.412	0.226	0.647	1.4	2.7	4.0	0.9	0.5	0.5	0.9	3.0	3.9	Collins, Jason	
