g	gs	mpg	fgp	threepp	ftp	offr	defr	rpg	apg	spg	bpg	to	pf	ppg	name
661	440	28.3	0.434	0.407	0.797	0.6	2.2	2.8	1.7	0.7	0.2	1.0	2.6	10.2	Bell, Raja	
189	5	16.4	0.429	0.358	0.708	0.5	1.5	2.0	2.7	0.6	0.1	1.6	1.7	6.8	Dragic, Goran	
377	38	21.1	0.423	0.327	0.795	0.4	1.5	1.9	2.9	0.8	0.2	1.4	1.4	10.6	Williams, Louis	
330	165	23.2	0.409	0.372	0.771	0.6	2.5	3.1	0.8	0.5	0.3	0.9	1.8	8.6	Webster, Martell	
604	414	30.4	0.494	0.334	0.712	1.4	3.5	4.9	4.0	0.7	0.6	2.0	2.5	9.7	Diaw, Boris	
485	223	24.0	0.464	0.358	0.833	0.4	1.8	2.2	3.4	0.8	0.1	1.5	1.8	9.5	Udrih, Beno	
210	6	15.6	0.549	0.400	0.682	1.5	3.6	5.0	0.4	0.3	0.9	0.6	1.9	5.1	Gortat, Marcin	
223	154	24.1	0.404	0.335	0.797	1.5	3.8	5.3	0.8	0.5	0.7	1.2	2.4	8.7	Yi Jianlian	
1250	1237	36.9	0.402	0.350	0.784	1.4	5.2	6.5	9.2	2.0	0.3	3.0	1.9	13.3	Kidd, Jason	
227	55	17.8	0.484	0.000	0.663	1.4	1.8	3.3	0.3	0.2	1.4	0.6	2.2	2.4	Anthony, Joel	
524	432	32.3	0.490	0.264	0.840	2.1	5.2	7.3	2.0	0.7	0.8	1.8	2.6	16.3	West, David	
553	377	20.3	0.555	0.000	0.557	1.9	4.4	6.3	0.4	0.3	1.5	1.0	2.8	4.0	Przybilla, Joel	
826	695	33.0	0.449	0.346	0.852	0.9	2.3	3.2	3.5	0.8	0.2	2.2	2.6	17.7	Hamilton, Richard	
193	4	15.0	0.493	0.176	0.757	1.3	2.4	3.8	0.5	0.3	0.5	0.7	2.3	7.4	Speights, Marreese	
388	82	17.4	0.414	0.393	0.846	0.4	1.7	2.0	0.7	0.5	0.1	0.7	1.6	7.1	Carroll, Matt	
530	386	30.8	0.500	0.000	0.763	2.4	5.7	8.1	1.1	0.6	0.3	1.2	2.8	10.0	Haslem, Udonis	
174	25	11.4	0.511	0.000	0.583	1.3	2.1	3.4	0.7	0.3	0.3	0.8	2.1	3.7	Gray, Aaron	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Orton, Daniel	
552	83	14.2	0.433	0.200	0.473	1.4	2.3	3.8	0.4	0.4	1.1	0.6	2.1	2.1	Diop, DeSagana	
734	723	35.0	0.443	0.373	0.714	1.3	3.9	5.2	2.8	1.2	0.4	1.9	2.4	18.1	Richardson, Jason	
23	1	12.2	0.367	0.261	0.727	0.5	1.1	1.7	1.1	0.6	0.0	1.1	0.9	5.3	Crawford, Jordan	
113	29	22.5	0.415	0.338	0.774	1.4	3.5	5.0	1.4	0.5	0.5	0.8	2.2	7.7	Tolliver, Anthony	
488	150	21.6	0.432	0.361	0.667	0.9	2.3	3.2	0.8	0.7	0.4	1.1	2.4	8.6	Pietrus, Mickael	
370	55	16.1	0.459	0.000	0.625	1.2	2.1	3.3	0.7	0.3	0.6	1.1	2.0	5.3	Ely, Melvin	
215	153	28.7	0.458	0.341	0.769	1.5	4.3	5.8	1.4	0.7	0.6	1.8	2.7	15.6	Beasley, Michael	
159	85	15.1	0.544	0.000	0.711	1.4	1.9	3.4	0.1	0.2	0.8	0.7	2.0	6.2	Lopez, Robin	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Oden, Greg	
291	63	14.3	0.456	0.222	0.738	1.3	2.7	4.0	0.4	0.4	0.4	0.8	1.9	4.5	Williams, Shelden	
425	354	28.2	0.447	0.412	0.811	0.5	2.7	3.2	2.2	0.9	0.2	1.0	1.6	9.4	Parker, Anthony	
112	13	14.2	0.503	0.412	0.731	0.3	1.5	1.8	0.7	0.4	0.1	0.7	1.7	5.6	Walker, Bill	
364	120	15.7	0.471	0.000	0.650	1.1	2.8	3.9	0.4	0.4	0.5	0.8	2.6	4.8	Petro, Johan	
11	0	7.9	0.308	0.000	0.857	0.4	0.7	1.1	1.4	0.2	0.2	0.6	1.0	2.0	Shakur, Mustafa	
222	40	13.1	0.497	0.262	0.588	0.8	1.5	2.3	0.8	0.6	0.3	0.7	0.8	4.0	Wright, Julian	
451	113	22.5	0.462	0.232	0.719	1.0	1.9	3.0	1.9	1.0	0.3	1.3	1.7	8.6	Daniels, Marquis	
51	46	37.3	0.404	0.305	0.736	0.5	3.9	4.4	8.8	1.6	0.4	3.7	2.6	15.5	Wall, John	
103	9	11.6	0.534	0.000	0.637	1.6	1.8	3.5	0.3	0.3	0.1	0.4	2.0	2.4	Brockman, Jon	
159	126	30.8	0.422	0.375	0.860	0.8	3.6	4.4	1.5	0.8	0.5	1.2	2.3	13.8	Gallinari, Danilo	
215	208	32.9	0.545	0.333	0.713	2.5	5.4	7.8	2.2	0.8	1.4	2.0	3.4	12.7	Gasol, Marc	
22	6	15.1	0.442	0.000	0.692	0.6	2.8	3.4	0.8	0.6	0.4	0.9	1.4	4.3	James, Damion	
554	190	18.9	0.439	0.335	0.805	0.4	1.3	1.7	3.1	0.5	0.0	1.2	1.6	6.7	Arroyo, Carlos	
54	0	12.3	0.371	0.254	0.806	0.2	0.9	1.1	2.2	0.3	0.1	1.0	1.3	3.3	Vasquez, Greivis	
641	516	26.0	0.522	0.000	0.695	2.6	5.6	8.2	0.5	0.5	1.9	1.5	3.1	8.0	Dalembert, Samuel	
263	150	23.1	0.466	0.328	0.801	0.7	3.7	4.4	1.1	0.9	0.9	0.5	1.5	6.6	Moon, Jamario	
59	0	11.6	0.411	0.327	0.761	0.3	0.5	0.8	1.8	0.4	0.0	1.0	0.9	5.3	Mills, Patrick	
5	0	4.8	0.429	0.250	0.500	0.0	0.2	0.2	0.6	0.2	0.0	1.4	0.0	1.6	Rautins, Andy	
10	0	3.9	0.182	0.000	0.000	0.5	0.4	0.9	0.2	0.2	0.0	0.2	0.5	0.4	Alabi, Solomon	
489	201	24.1	0.432	0.373	0.802	0.7	3.9	4.6	1.2	0.4	0.5	1.4	2.8	10.9	Nocioni, Andres	
469	334	28.1	0.442	0.301	0.806	0.4	2.1	2.5	5.0	1.2	0.2	2.2	2.5	13.2	Harris, Devin	
53	6	11.4	0.403	0.325	0.792	0.3	1.1	1.4	0.4	0.2	0.2	0.2	1.1	2.7	Pondexter, Quincy	
141	30	17.6	0.456	0.232	0.789	0.7	1.5	2.3	0.7	0.6	0.3	1.0	1.4	7.1	Young, Sam	
204	120	19.9	0.494	0.000	0.667	1.6	3.6	5.1	0.6	0.4	0.6	1.3	1.8	8.4	Hickson, J.J.	
123	19	16.1	0.439	0.376	0.786	0.6	2.3	3.0	0.7	0.4	0.4	0.7	1.9	6.2	Daye, Austin	
468	464	32.8	0.515	0.000	0.587	3.4	6.9	10.3	0.8	0.7	1.8	1.7	3.0	13.0	Okafor, Emeka	
736	345	20.9	0.496	0.115	0.616	2.8	4.2	7.0	0.9	0.7	0.4	0.8	2.5	5.0	Foster, Jeff	
808	533	25.4	0.496	0.000	0.711	1.9	3.8	5.7	0.6	0.5	2.4	1.2	2.8	7.2	Ratliff, Theo	
495	79	18.6	0.499	0.158	0.844	1.1	2.3	3.4	1.2	0.6	0.2	1.0	2.4	6.9	Songaila, Darius	
239	185	32.1	0.453	0.324	0.786	1.2	4.0	5.2	1.8	0.7	0.9	1.5	2.9	14.0	Chandler, Wilson	
453	358	27.8	0.458	0.387	0.806	0.5	2.5	3.0	4.8	1.0	0.1	2.1	2.6	12.4	Nelson, Jameer	
372	336	36.0	0.457	0.352	0.768	1.4	4.2	5.6	1.9	1.3	0.9	2.2	2.6	17.8	Gay, Rudy	
38	16	13.9	0.406	0.118	0.635	0.2	0.7	1.0	0.5	0.3	0.1	0.3	1.3	4.3	Henry, Xavier	
211	7	13.1	0.524	0.000	0.466	1.6	2.1	3.7	0.3	0.3	0.8	0.6	1.9	4.0	Amundson, Lou	
41	11	14.9	0.411	0.000	0.583	1.1	2.1	3.2	0.2	0.3	1.2	0.6	2.0	4.4	Sanders, Larry	
213	108	26.2	0.446	0.384	0.829	0.5	2.2	2.8	1.3	1.0	0.2	0.9	1.7	9.6	Lee, Courtney	
213	172	22.4	0.473	0.375	0.725	2.0	3.5	5.6	1.6	0.4	1.5	1.6	3.2	10.5	Hibbert, Roy	
354	7	18.9	0.424	0.363	0.683	0.3	1.6	1.9	2.5	0.8	0.1	1.2	1.4	7.2	Farmar, Jordan	
794	669	34.9	0.410	0.320	0.710	0.9	3.0	3.9	7.3	1.9	0.4	2.8	2.9	16.5	Davis, Baron	
521	236	20.8	0.526	0.000	0.646	1.6	3.5	5.1	0.8	0.5	0.4	1.2	2.4	8.7	Wilcox, Chris	
750	619	33.1	0.443	0.385	0.744	1.5	3.2	4.7	2.0	1.1	1.0	1.0	2.4	9.7	Battier, Shane	
282	180	22.4	0.470	0.310	0.633	1.6	3.9	5.5	1.5	0.4	1.0	1.5	2.6	8.4	Hawes, Spencer	
561	166	19.4	0.458	0.000	0.729	2.0	3.1	5.1	0.9	0.6	0.4	1.3	2.6	6.8	Pachulia, Zaza	
115	13	10.9	0.550	0.000	0.570	0.9	1.8	2.8	0.1	0.2	0.9	0.5	2.1	2.3	Thabeet, Hasheem	
382	74	14.0	0.444	0.395	0.781	0.8	2.0	2.7	0.6	0.3	0.3	0.6	1.9	5.8	Cook, Brian	
781	751	36.9	0.502	0.133	0.739	3.6	6.0	9.6	2.4	1.0	1.9	2.3	3.1	18.9	Brand, Elton	
1176	1139	36.9	0.498	0.281	0.787	2.5	8.3	10.8	4.1	1.4	1.6	2.4	2.5	19.6	Garnett, Kevin	
431	344	33.3	0.443	0.385	0.845	1.2	4.1	5.3	2.1	1.0	0.9	2.0	3.0	18.1	Granger, Danny	
212	4	9.8	0.436	0.409	0.881	0.1	1.0	1.1	0.3	0.2	0.0	0.2	0.7	3.9	Novak, Steve	
250	172	26.1	0.513	0.000	0.708	3.1	5.3	8.4	1.6	0.7	1.3	1.4	2.9	8.5	Noah, Joakim	
1022	898	30.4	0.475	0.130	0.415	3.3	6.7	10.0	1.4	1.3	2.0	1.0	2.0	6.0	Wallace, Ben	
212	53	24.3	0.451	0.386	0.809	0.4	2.0	2.5	2.4	0.8	0.3	1.2	2.3	9.7	Hill, George	
183	75	17.6	0.402	0.314	0.680	0.6	1.8	2.4	0.8	0.5	0.5	1.0	1.6	6.3	Greene, Donte	
180	87	27.4	0.469	0.456	0.888	0.9	2.4	3.3	1.3	0.6	0.2	1.0	2.2	11.9	Morrow, Anthony	
365	84	16.5	0.483	0.302	0.817	0.7	2.1	2.9	0.6	0.4	0.1	0.8	2.2	6.1	Graham, Joey	
6	0	13.8	0.321	0.000	0.889	0.2	1.8	2.0	3.0	0.5	0.0	1.8	1.5	4.3	Stephenson, Lance	
60	6	6.5	0.418	0.308	0.684	0.3	0.8	1.1	0.1	0.2	0.3	0.3	1.2	2.6	Ajinca, Alexis	
1083	1079	37.1	0.452	0.399	0.893	1.1	3.2	4.3	3.6	1.2	0.2	2.2	2.3	20.3	Allen, Ray	
61	23	19.3	0.518	0.000	0.611	2.2	3.0	5.2	0.4	0.3	0.7	1.0	3.3	6.5	Favors, Derrick	
308	28	12.5	0.439	0.350	0.742	1.1	1.9	3.0	0.5	0.2	0.2	0.8	1.6	3.9	Powell, Josh	
295	156	22.5	0.465	0.410	0.804	0.6	2.0	2.6	1.3	0.5	0.3	0.8	2.0	7.4	Afflalo, Arron	
420	183	23.2	0.452	0.408	0.801	1.2	3.8	5.0	0.9	0.5	0.6	1.0	2.9	9.4	Frye, Channing	
642	481	28.9	0.445	0.390	0.784	2.1	6.4	8.5	1.6	0.7	0.4	1.3	2.7	11.8	Murphy, Troy	
477	84	18.6	0.474	0.421	0.782	1.0	2.5	3.5	0.7	0.4	0.3	0.5	2.1	6.8	Bonner, Matt	
183	168	35.5	0.457	0.375	0.809	0.6	2.1	2.7	3.2	1.1	0.4	2.3	2.0	18.1	Gordon, Eric	
57	12	12.3	0.446	0.273	0.725	0.7	0.9	1.6	0.8	0.4	0.1	1.0	0.9	5.5	Taylor, Jermaine	
465	419	34.9	0.471	0.323	0.765	1.7	4.7	6.4	2.2	1.0	0.6	1.8	1.8	16.0	Deng, Luol	
